City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Fare,PF,80.04,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
3,Puerto Ayora,EC,75.54,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
7,Rikitea,PF,77.74,overcast clouds,-23.1203,-134.9692,People ThankYou
10,Lethem,GY,87.55,overcast clouds,3.3803,-59.7968,Savannah Inn
12,Samarai,PG,81.79,overcast clouds,-10.6167,150.6667,Nuli Sapi
15,Yambio,SS,96.76,overcast clouds,4.5721,28.3955,Naivasha Hotel
17,Bowen,AU,75.42,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
18,Busselton,AU,80.1,clear sky,-33.65,115.3333,Observatory Guest House
19,Carnarvon,AU,84.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
20,Koster,ZA,78.75,overcast clouds,-25.863,26.8976,Klub Kranskuil
27,Georgetown,MY,80.89,thunderstorm with light rain,5.4112,100.3354,Cititel Penang
28,Itarema,BR,84.04,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
29,Buraydah,SA,77.45,overcast clouds,26.326,43.975,فندق راحة السلام
37,Tual,ID,83.82,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
38,Mandapam,IN,80.29,clear sky,9.2833,79.1167,Tanvi Chachaa Chalet
43,Butaritari,KI,81.88,light rain,3.0707,172.7902,Isles Sunset Lodge
47,Ambulu,ID,77.14,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
51,Antalaha,MG,83.08,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
52,Saint-Leu,RE,81.46,light rain,-21.15,55.2833,La Caz Oceane
58,Tarakan,ID,80.49,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
64,Mana,GF,78.76,overcast clouds,5.6592,-53.7767,LE SAMANA
66,Sola,VU,81.9,overcast clouds,-13.8833,167.55,Leumerus Bungalows
77,Vaini,TO,75.36,moderate rain,-21.2,-175.2,Keleti Beach Resort
83,Bambous Virieux,MU,80.85,light rain,-20.3428,57.7575,Casa Tia Villa
84,Nikki,BJ,92.16,clear sky,9.9401,3.2108,Hotel John
89,Axim,GH,84.27,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
92,Sao Joao Da Barra,BR,82.49,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
95,Champerico,GT,83.35,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
97,Atuona,PF,78.46,few clouds,-9.8,-139.0333,Villa Enata
98,Iracoubo,GF,78.6,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
99,Trincomalee,LK,79.32,clear sky,8.5711,81.2335,Welcombe Hotel
101,Karratha,AU,85.12,broken clouds,-20.7377,116.8463,ibis Styles Karratha
102,Geraldton,AU,81.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
104,Olinda,BR,85.73,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
112,Lufilufi,WS,76.78,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
118,Hermanus,ZA,77.9,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
124,Sibu,MY,79.11,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
126,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
129,Uige,AO,78.82,broken clouds,-7.6087,15.0613,Hotel Catraio
136,Kaduqli,SD,88.68,scattered clouds,11.0167,29.7167,فندق الله جابو
145,Moron,AR,78.8,scattered clouds,-34.6534,-58.6198,Hotel Morón
152,Taganak,PH,78.94,overcast clouds,6.0833,118.3,Taganak
155,Puerto Escondido,MX,75.2,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
159,Takaungu,KE,88.29,overcast clouds,-3.6837,39.8566,Takaungu House
167,Mount Isa,AU,76.77,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
169,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
174,Sinnamary,GF,78.62,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
175,Prainha,BR,79.32,moderate rain,-1.8,-53.48,Casa Rocha
177,Markala,ML,90.14,clear sky,13.7021,-6.0659,Hôtel Igor
182,Buala,SB,80.26,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
184,Kavieng,PG,82.76,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
189,Mahebourg,MU,80.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
191,Diffa,NE,79.3,clear sky,13.3154,12.6113,ProDAF/Diffa
194,Arraial Do Cabo,BR,82.26,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
