City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,49.48,99,100,2.15,overcast clouds
1,Fare,PF,-16.7,-151.0167,80.04,76,10,13.8,light rain
2,Te Anau,NZ,-45.4167,167.7167,43.07,93,100,3.44,overcast clouds
3,Puerto Ayora,EC,-0.7393,-90.3518,75.54,93,7,8.01,clear sky
4,Aswan,EG,24.0934,32.907,64.85,21,0,19.17,clear sky
5,Cape Town,ZA,-33.9258,18.4232,73.81,46,0,5.99,clear sky
6,Jamestown,US,42.097,-79.2353,19.09,66,100,1.99,mist
7,Rikitea,PF,-23.1203,-134.9692,77.74,73,100,12.3,overcast clouds
8,Shache,CN,38.4167,77.2406,30.06,37,7,7.67,clear sky
9,Tura,IN,25.5198,90.2201,54.25,95,100,5.79,overcast clouds
10,Lethem,GY,3.3803,-59.7968,87.55,48,95,11.77,overcast clouds
11,Punta Arenas,CL,-53.15,-70.9167,48.31,46,40,6.91,scattered clouds
12,Samarai,PG,-10.6167,150.6667,81.79,80,91,8.88,overcast clouds
13,Half Moon Bay,US,37.4636,-122.4286,51.01,88,20,0.0,few clouds
14,Hirado,JP,33.3597,129.5531,42.39,60,93,27.92,overcast clouds
15,Yambio,SS,4.5721,28.3955,96.76,16,100,6.29,overcast clouds
16,Ushuaia,AR,-54.8,-68.3,46.02,53,20,10.36,few clouds
17,Bowen,AU,-20.0167,148.2333,75.42,84,100,16.15,overcast clouds
18,Busselton,AU,-33.65,115.3333,80.1,70,0,7.23,clear sky
19,Carnarvon,AU,-24.8667,113.6333,84.27,61,8,14.97,clear sky
20,Koster,ZA,-25.863,26.8976,78.75,41,94,6.42,overcast clouds
21,Terrace Bay,CA,48.7834,-87.1,-22.38,98,100,11.9,light snow
22,Deputatskiy,RU,69.3,139.9,-27.92,100,80,2.62,broken clouds
23,Aasiaat,GL,68.7098,-52.8699,11.46,81,100,13.04,overcast clouds
24,Saskylakh,RU,71.9167,114.0833,-8.81,99,100,4.16,light snow
25,New Norfolk,AU,-42.7826,147.0587,59.92,67,81,1.03,broken clouds
26,Pisco,PE,-13.7,-76.2167,68.05,77,0,5.75,clear sky
27,Georgetown,MY,5.4112,100.3354,80.89,92,40,1.99,thunderstorm with light rain
28,Itarema,BR,-2.9248,-39.9167,84.04,66,100,13.24,overcast clouds
29,Buraydah,SA,26.326,43.975,77.45,32,87,15.79,overcast clouds
30,Itoman,JP,26.1247,127.6694,60.82,84,75,19.57,broken clouds
31,Abashiri,JP,44.0213,144.2697,19.94,93,89,6.04,overcast clouds
32,Kapaa,US,22.0752,-159.319,67.98,94,0,8.05,clear sky
33,Hilo,US,19.7297,-155.09,66.25,74,0,8.05,clear sky
34,Marawi,PH,7.9986,124.2928,69.66,92,100,3.11,overcast clouds
35,Nanortalik,GL,60.1432,-45.2371,13.64,92,100,51.94,light snow
36,Mecca,SA,21.4267,39.8261,67.55,55,97,12.55,overcast clouds
37,Tual,ID,-5.6667,132.75,83.82,75,100,14.65,overcast clouds
38,Mandapam,IN,9.2833,79.1167,80.29,69,5,11.1,clear sky
39,Dikson,RU,73.5069,80.5464,-2.29,91,100,5.21,overcast clouds
40,Yellowknife,CA,62.456,-114.3525,-37.44,82,0,2.3,clear sky
41,Oksfjord,NO,70.2396,22.3479,23.18,91,100,19.46,overcast clouds
42,Kahului,US,20.8947,-156.47,68.85,82,0,4.61,clear sky
43,Butaritari,KI,3.0707,172.7902,81.88,76,11,15.61,light rain
